Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source,IUPAC_name
CCCOC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,CCCOC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db,"2-propoxy-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxane-3,4,5-triol"
COc1c(OC2OC(CO)C(O)C(O)C2O)cc2occ(-c3ccc(O)c(O)c3)c(=O)c2c1O,COc1c(OC2OC(CO)C(O)C(O)C2O)cc2occ(-c3ccc(O)c(O)c3)c(=O)c2c1O,sweet,flavor_db,"3-(3,4-dihydroxyphenyl)-5-hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
Cc1ccccc1N=NC(=NNc1ccccc1)c1ccccc1,Cc1ccccc1N=NC(=NNc1ccccc1)c1ccccc1,sweet,flavor_db,N'-anilino-N-(2-methylphenyl)iminobenzenecarboximidamide
CC1OC(OC2C(Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3OC3OC(CO)C(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3OC3OC(CO)C(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db,"2-[4-[4,5-dihydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-5,7-dihydroxychromen-4-one"
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,sweet,chemtastes_db,"6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,4,5-pentol"
COC(=O)C(C)(Cc1ccccc1)N(CCC(C)(C)C)C(=O)C(N)CC(=O)O,COC(=O)C(C)(Cc1ccccc1)N(CCC(C)(C)C)C(=O)C(N)CC(=O)O,sweet,flavor_db,"3-amino-4-[3,3-dimethylbutyl-(1-methoxy-2-methyl-1-oxo-3-phenylpropan-2-yl)amino]-4-oxobutanoic acid"
O=C1CC(c2ccc(O)c(OC3OC(CO)C(O)C(O)C3O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)ccc21,O=C1CC(c2ccc(O)c(OC3OC(CO)C(O)C(O)C3O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)ccc21,sweet,flavor_db,"2-[4-hydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one"
NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid
CC1OC(Oc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc(O)c2O)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,CC1OC(Oc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc(O)c2O)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,flavor_db,"2-[3-[3,5-dihydroxy-6-methyl-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxyphenyl]-3,5,7-trihydroxychromen-4-one"
CC(=O)OC1C(C(=O)O)OC(OC2C(O)CC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5C(O)C(=O)C34C)C2(C)C(=O)O)C(O)C1O,CC(=O)OC1C(C(=O)O)OC(OC2C(O)CC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5C(O)C(=O)C34C)C2(C)C(=O)O)C(O)C1O,sweet,flavor_db,"3-acetyloxy-6-[(4-carboxy-2,8-dihydroxy-4,6a,6b,11,11,14b-hexamethyl-7-oxo-1,2,3,4a,5,6,8,8a,9,10,12,12a,14,14a-tetradecahydropicen-3-yl)oxy]-4,5-dihydroxyoxane-2-carboxylic acid"
COCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,COCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db,"6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(methoxymethyl)oxan-2-yl]oxyoxane-2,3,4-triol"
CCCCC(NC=O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC,CCCCC(NC=O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC,sweet,flavor_db,methyl 2-[[2-(2-formamidohexanoylamino)-4-methylpentanoyl]amino]-3-phenylpropanoate
O[C]C(O)C(O)C(O)C(O)[C]O,O[C]C(O)C(O)C(O)C(O)[C]O,sweet,flavor_db,"hexane-1,2,3,4,5,6-hexol"
CC(=O)OC1C(OC(=O)CC(C)C)C2(CO)C(OC(C)=O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2CC1(C)C,CC(=O)OC1C(OC(=O)CC(C)C)C2(CO)C(OC(C)=O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2CC1(C)C,sweet,flavor_db,"6-[[8,10-diacetyloxy-8a-(hydroxymethyl)-4,4,6a,6b,11,11,14b-heptamethyl-9-(3-methylbutanoyloxy)-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxane-2-carboxylic acid"
CC(N)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(N)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,2-[[5-amino-2-[2-(2-aminopropanoylamino)propanoylamino]-5-oxopentanoyl]amino]-3-phenylpropanoic acid
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,4-[2-[(2-amino-3-carboxypropanoyl)amino]propanoylamino]-5-[(1-carboxy-2-phenylethyl)amino]-5-oxopentanoic acid
NCCCCC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,NCCCCC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,"2-[[6-amino-2-[[4-amino-2-(2,6-diaminohexanoylamino)-4-oxobutanoyl]amino]hexanoyl]amino]-3-phenylpropanoic acid"
COc1cc(O)c2c(=O)c3c(OC4OC(CO)C(O)C(O)C4O)ccc(O)c3oc2c1,COc1cc(O)c2c(=O)c3c(OC4OC(CO)C(O)C(O)C4O)ccc(O)c3oc2c1,sweet,flavor_db,"1,5-dihydroxy-3-methoxy-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyxanthen-9-one"
NCCCCC(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,NCCCCC(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,"2-[[4-amino-2-(2,6-diaminohexanoylamino)-4-oxobutanoyl]amino]-3-phenylpropanoic acid"
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,flavor_db,"6-[(11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl)oxy]-5-[6-carboxy-3,4-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid"
COc1ccc(CCC(=O)c2c(O)cc(OC3C(OC4C(O)OC(CO)C(O)C4O)OC(C)C(O)C3O)cc2O)cc1O,COc1ccc(CCC(=O)c2c(O)cc(OC3C(OC4C(O)OC(CO)C(O)C4O)OC(C)C(O)C3O)cc2O)cc1O,sweet,flavor_db,"1-[4-[4,5-dihydroxy-6-methyl-2-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-2,6-dihydroxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)propan-1-one"
NCCCCC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,NCCCCC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,"2-[[6-amino-2-[(2,4-diamino-4-oxobutanoyl)amino]hexanoyl]amino]-3-phenylpropanoic acid"
NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,sweet,flavor_db,4-amino-2-[[4-amino-2-[[2-[(2-amino-3-phenylpropanoyl)amino]-3-carboxypropanoyl]amino]-4-oxobutanoyl]amino]-4-oxobutanoic acid
COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C(=O)OC)CC(O)C5(C)CCC34C)C2(C)CO)C(OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C(O)C1O,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C(=O)OC)CC(O)C5(C)CCC34C)C2(C)CO)C(OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db,"methyl 5-[4,5-dihydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-3,4-dihydroxy-6-[[9-hydroxy-4-(hydroxymethyl)-11-methoxycarbonyl-4,6a,6b,8a,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]oxane-2-carboxylate"
COC1C(C)OC(O)CC1(C)O,COC1C(C)OC(O)CC1(C)O,sweet,flavor_db,"5-methoxy-4,6-dimethyloxane-2,4-diol"
CC1OC(OC2C(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)OCC(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)OCC(O)C2O)C(O)C(O)C1O,sweet,flavor_db,"2-(3,4-dihydroxyphenyl)-3-[4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-5,7-dihydroxychromen-4-one"
CC(C)COC(=O)Cc1ccccc1,CC(C)COC(=O)Cc1ccccc1,sweet,flavor_db,2-methylpropyl 2-phenylacetate
CC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,CC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet,chemtastes_db,3-amino-4-[[1-hydroxy-3-(2-methylpropanoyloxy)propan-2-yl]amino]-4-oxobutanoic acid
CC(C)=CCCC(C)CCOC(=O)C(C)C,CC(C)=CCCC(C)CCOC(=O)C(C)C,sweet,flavor_db,"3,7-dimethyloct-6-enyl 2-methylpropanoate"
CC(C)OC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,CC(C)OC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,sweet,flavor_db,"2-[[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-propan-2-yloxyoxane-3,4,5-triol"
CCOC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,CCOC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,sweet,flavor_db,3-amino-4-[[1-[(2-ethoxy-2-oxoethyl)amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid
NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,sweet,flavor_db,4-amino-2-[[4-amino-2-[[2-[(2-amino-3-phenylpropanoyl)amino]acetyl]amino]-4-oxobutanoyl]amino]-4-oxobutanoic acid
COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5C(C)C(C)CCC5(C(=O)O)CCC34C)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5C(C)C(C)CCC5(C(=O)O)CCC34C)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,flavor_db,"10-[3,5-dihydroxy-6-methoxycarbonyl-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid"
COc1cc(-c2cc(=O)c3c(O)cc(OC4OCC(O)C(O)C4O)cc3o2)ccc1OC1OCC(O)C(O)C1O,COc1cc(-c2cc(=O)c3c(O)cc(OC4OCC(O)C(O)C4O)cc3o2)ccc1OC1OCC(O)C(O)C1O,sweet,flavor_db,"5-hydroxy-2-[3-methoxy-4-(3,4,5-trihydroxyoxan-2-yl)oxyphenyl]-7-(3,4,5-trihydroxyoxan-2-yl)oxychromen-4-one"
NCCCCNc1nc2c(N)ncnc2n1C1OC2COP(=O)(O)OC2C1O,NCCCCNc1nc2c(N)ncnc2n1C1OC2COP(=O)(O)OC2C1O,sweet,flavor_db,"6-[6-amino-8-(4-aminobutylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol"
NCC(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,NCC(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,4-[(2-aminoacetyl)amino]-5-[[3-carboxy-1-[(1-carboxy-2-phenylethyl)amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid
CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,4-[[6-amino-1-[(1-carboxy-2-phenylethyl)amino]-1-oxohexan-2-yl]amino]-3-[(2-amino-3-methylpentanoyl)amino]-4-oxobutanoic acid
C=C1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,C=C1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,sweet,flavor_db,"3,4,5-trihydroxy-6-[[2-hydroxy-4-(hydroxymethyl)-4,6a,6b,14b-tetramethyl-11-methylidene-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]oxane-2-carboxylic acid"
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1,sweet,flavor_db,"5-hydroxy-6-methoxy-2-(4-methoxyphenyl)-7-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one"
CCCCCCCCCC1CCCC(=O)O1,CCCCCCCCCC1CCCC(=O)O1,sweet,flavor_db,6-nonyloxan-2-one
COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(O)ccc(OC)c3oc2c1,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(O)ccc(OC)c3oc2c1,sweet,flavor_db,"8-hydroxy-3,5-dimethoxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyxanthen-9-one"
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CCc1ccccc1,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CCc1ccccc1,sweet,flavor_db,methyl 2-[(2-amino-4-phenylbutanoyl)amino]-3-phenylpropanoate
COCC1OC(OC)CC(O)C1O,COCC1OC(OC)CC(O)C1O,sweet,flavor_db,"6-methoxy-2-(methoxymethyl)oxane-3,4-diol"
CC(NC(=O)C(CCC(=O)O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(NC(=O)C(CCC(=O)O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,4-[(2-amino-3-carboxypropanoyl)amino]-5-[[1-[(1-carboxy-2-phenylethyl)amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid
COC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,COC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet,flavor_db,"2-[4,5-dihydroxy-6-(hydroxymethyl)-2-methoxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
O=c1c(-c2ccc(O)cc2)coc2c(O)c(OC3OC(CO)C(O)C(O)C3O)ccc12,O=c1c(-c2ccc(O)cc2)coc2c(O)c(OC3OC(CO)C(O)C(O)C3O)ccc12,sweet,flavor_db,"8-hydroxy-3-(4-hydroxyphenyl)-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)C,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)C,sweet,flavor_db,2-[[2-[2-[(2-amino-3-carboxypropanoyl)amino]propanoylamino]-3-phenylpropanoyl]amino]-3-methylbutanoic acid
Nc1ccc(C(N=Nc2ccccc2)=NNc2ccccc2)cc1,Nc1ccc(C(N=Nc2ccccc2)=NNc2ccccc2)cc1,sweet,flavor_db,4-amino-N'-anilino-N-phenyliminobenzenecarboximidamide
COC1OC(C(O)CO)C(O)C(O)C1O,COC1OC(C(O)CO)C(O)C(O)C1O,sweet,flavor_db,"2-(1,2-dihydroxyethyl)-6-methoxyoxane-3,4,5-triol"
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c12,sweet,flavor_db,"2-(3,4-dihydroxyphenyl)-5,6-dihydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
OCCCCCOC1OC(CO)C(O)C(O)C1O,OCCCCCOC1OC(CO)C(O)C(O)C1O,sweet,flavor_db,"2-(hydroxymethyl)-6-(5-hydroxypentoxy)oxane-3,4,5-triol"
OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,sweet,chemtastes_db,"6-(hydroxymethyl)oxane-2,3,4,5-tetrol"
NC(CS)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,NC(CS)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,3-[(2-amino-3-sulfanylpropanoyl)amino]-4-[(1-carboxy-2-phenylethyl)amino]-4-oxobutanoic acid
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,flavor_db,"2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-10-[3,4,5-trihydroxy-6-(2-hydroxyacetyl)oxan-2-yl]oxy-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid"
CC1OC(OC2C(O)C(C)OC(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(O)C(C)OC(O)C2O)C(O)C(O)C1O,sweet,flavor_db,"6-methyl-4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxane-2,3,5-triol"
